"","headline","url","date_time"
"76","Главу контррозвідки Бельгії запідозрили в шпигунстві на Росію","https://ua-news.liga.net/world/news/glavu-kontrrozvidki-belgii-zapidozrili-v-shpigunstvi-na-rosiyu","2019-02-14 12:45:30"
"77","""Полетів, але обіцяв повернутися"": Україна не пустила єпископа УП","https://ua-news.liga.net/cryminal/news/poletiv-ale-obitsyav-povernutisya-ukraina-ne-pustila-episkopa-up","2019-02-14 10:18:37"
"78","Замовник вбивства Гандзюк: Мангер назвав ім'я та боїться за життя","https://ua-news.liga.net/politics/news/zamovnik-vbivstva-gandzyuk-manger-nazvav-imya-ta-boitsya-za-jittya","2019-02-13 17:37:39"
"79","Справа Гандзюк: звинувачення просить закрити суд","https://ua-news.liga.net/politics/news/sprava-gandzyuk-zvinuvachennya-prosit-zakriti-sud","2019-02-13 16:10:09"
"80","У Житомирській області річка за лічені години змила міст: відео ","https://ua-news.liga.net/society/video/u-jitomirskiy-oblasti-richka-za-licheni-godini-zmila-mist-video","2019-02-13 14:52:30"
"81","72% українців впевнені, що йде війна з Росією - опитування","https://ua-news.liga.net/society/news/72-ukraintsiv-vpevneni-scho-yde-viyna-z-rosieyu---opituvannya","2019-02-13 12:36:28"
"82","""Міністерство буде розблоковано"". Супрун їде в Кабмін","https://ua-news.liga.net/politics/news/ministerstvo-bude-rozblokovano-suprun-ide-v-kabmin","2019-02-13 12:08:56"
"83","Шведські аналітики: Росія готується до війни - відео","https://ua-news.liga.net/politics/video/shvedski-analitiki-rosiya-gotuetsya-do-viyni---video","2019-02-12 16:14:00"
"84","Суд у справі Мангера відклали, не доїхали адвокати","https://ua-news.liga.net/politics/news/sud-u-spravi-mangera-vidklali-ne-doihali-advokati","2019-02-12 13:47:18"
"85","Російський суд продовжив арешт чотирьом полоненим морякам","https://ua-news.liga.net/politics/news/rosiyskiy-sud-prodovjiv-aresht-chotirom-polonenim-moryakam","2019-02-12 12:51:13"
"86","Гандзюк вбили за $5600: дані Луценка","https://ua-news.liga.net/politics/news/gandzyuk-vbili-za-5600-dani-lutsenka","2019-02-11 15:47:38"
"87","Луценко показав схему зв'язків у справі про вбивство Гандзюк","https://ua-news.liga.net/politics/news/lutsenko-pokazav-shemu-zvyazkiv-u-spravi-pro-vbivstvo-gandzyuk","2019-02-11 15:14:11"
"88","Україна направила Італії ноту через ""представництва ДНР""","https://ua-news.liga.net/politics/news/ukraina-napravila-italii-notu-cherez-predstavnitstva-dnr","2019-02-11 14:48:27"
"89","""У нас з Росією війни немає"". Інтерв'ю Медведчука - за хвилину","https://ua-news.liga.net/politics/articles/u-nas-z-rosieyu-viyni-nemae-intervyu-medvedchuka---za-hvilinu","2019-02-11 13:58:39"
"90","Справа Ганздюк: відсторонено заступника голови Херсона","https://ua-news.liga.net/politics/news/sprava-ganzdyuk-vidstoroneno-zastupnika-golovi-hersona","2019-02-11 11:32:21"
"91","Мангеру оголосили підозру в організації вбивства Ганздюк: фото","https://ua-news.liga.net/politics/news/mangeru-ogolosili-pidozru-v-organizatsii-vbivstva-ganzdyuk-foto","2019-02-11 11:19:32"
"92","Вибори президента 2019. Остаточний список кандидатів","https://ua-news.liga.net/politics/news/vibori-prezidenta-2019-ostatochniy-spisok-kandidativ","2019-02-08 17:17:57"
"93","У суді назвали дві заборони для Уляни Супрун","https://ua-news.liga.net/politics/news/u-sudi-nazvali-dvi-zaboroni-dlya-ulyani-suprun","2019-02-08 15:49:41"
"94","Що озброять ракетами Нептун в Повітряних силах і ВМС: конструктор","https://ua-news.liga.net/politics/news/scho-ozbroyat-raketami-neptun-v-povitryanih-silah-i-vms-konstruktor","2019-02-08 13:07:22"
"95","У КБ ""Луч"" розповіли про нову грізну зброю ракетних військ ЗСУ","https://ua-news.liga.net/politics/news/u-kb-luch-rozpovili-pro-novu-griznu-zbroyu-raketnih-viysk-zsu","2019-02-08 12:19:18"
"96","Помер Юрський, зірка фільму ""Любовь и голуби""","https://ua-news.liga.net/culture/news/pomer-yurskiy-zirka-filmiv-zolotoy-telenok-i-lyubov-i-golubi","2019-02-08 10:35:18"
"97","""Схеми"" знайшли зв'язок влади Херсона зі справою Гандзюк","https://ua-news.liga.net/politics/news/shemi-znayshli-zvyazok-vladi-hersona-zi-spravoyu-gandzyuk","2019-02-07 16:34:53"
"98","Росіянам заборонили спостерігати за виборами в Україну","https://ua-news.liga.net/politics/news/rosiyanam-zaboronili-sposterigati-za-viborami-v-ukrainu","2019-02-07 14:55:49"
"99","Хто голосував проти курсу України в ЄС і НАТО, поіменно - відео","https://ua-news.liga.net/politics/video/hto-golosuvav-proti-kursu-ukraini-v-es-i-nato-poimenno---video","2019-02-07 14:12:22"
"100","""Донбасу - кінець"". Інтерв'ю з Горбуліним за хвилину","https://ua-news.liga.net/politics/articles/donbasu---kinets-intervyu-z-gorbulinim-za-hvilinu","2019-02-07 13:47:24"
